date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Jun-22,Arunachal Pradesh,two wheelers,0,1253
01-Jun-22,Arunachal Pradesh,four wheelers,0,1021
01-Jun-22,Ladakh,four wheelers,0,310
01-Jun-22,Manipur,four wheelers,0,1029
01-Jun-22,Mizoram,four wheelers,0,373
01-Jun-22,Nagaland,two wheelers,0,594
01-Jun-22,Nagaland,four wheelers,0,735
01-Jun-22,Tripura,four wheelers,0,354
01-Jul-22,Andaman & Nicobar Island,two wheelers,0,385
01-Jul-22,Andaman & Nicobar Island,four wheelers,0,127
01-Jul-22,Arunachal Pradesh,two wheelers,0,1181
01-Jul-22,DNH and DD,four wheelers,0,344
01-Jul-22,Ladakh,two wheelers,0,314
01-Jul-22,Manipur,four wheelers,0,775
01-Jul-22,Mizoram,four wheelers,0,319
01-Jul-22,Nagaland,two wheelers,0,505
01-Jul-22,Nagaland,four wheelers,0,591
01-Jul-22,Tripura,four wheelers,0,402
01-Aug-22,Andaman & Nicobar Island,two wheelers,0,398
01-Aug-22,Andaman & Nicobar Island,four wheelers,0,154
01-Aug-22,Arunachal Pradesh,two wheelers,0,1244
01-Aug-22,Arunachal Pradesh,four wheelers,0,866
01-Aug-22,Ladakh,two wheelers,0,222
01-Aug-22,Manipur,four wheelers,0,623
01-Aug-22,Meghalaya,four wheelers,0,1120
01-Aug-22,Mizoram,four wheelers,0,408
01-Aug-22,Nagaland,two wheelers,0,554
01-Aug-22,Nagaland,four wheelers,0,844
01-Aug-22,Tripura,four wheelers,0,403
01-Sep-22,Andaman & Nicobar Island,two wheelers,0,484
01-Sep-22,Andaman & Nicobar Island,four wheelers,0,128
01-Sep-22,Arunachal Pradesh,two wheelers,0,1068
01-Sep-22,Arunachal Pradesh,four wheelers,0,931
01-Sep-22,Ladakh,two wheelers,0,30
01-Sep-22,Ladakh,four wheelers,0,189
01-Sep-22,Manipur,four wheelers,0,820
01-Sep-22,Mizoram,four wheelers,0,379
01-Sep-22,Nagaland,two wheelers,0,589
01-Sep-22,Nagaland,four wheelers,0,780
01-Sep-22,Tripura,four wheelers,0,465
01-Oct-22,Andaman & Nicobar Island,two wheelers,0,409
01-Oct-22,Andaman & Nicobar Island,four wheelers,0,144
01-Oct-22,Arunachal Pradesh,two wheelers,0,850
01-Oct-22,Arunachal Pradesh,four wheelers,0,741
01-Oct-22,Ladakh,two wheelers,0,27
01-Oct-22,Ladakh,four wheelers,0,264
01-Oct-22,Manipur,four wheelers,0,596
01-Oct-22,Mizoram,four wheelers,0,362
01-Oct-22,Nagaland,two wheelers,0,374
01-Oct-22,Nagaland,four wheelers,0,690
01-Oct-22,Tripura,four wheelers,0,416
01-Nov-22,Arunachal Pradesh,two wheelers,0,1251
01-Nov-22,Arunachal Pradesh,four wheelers,0,971
01-Nov-22,Jammu and Kashmir,four wheelers,0,4102
01-Nov-22,Ladakh,two wheelers,0,23
01-Nov-22,Ladakh,four wheelers,0,244
01-Nov-22,Manipur,four wheelers,0,1569
01-Nov-22,Meghalaya,four wheelers,0,1158
01-Nov-22,Mizoram,four wheelers,0,378
01-Nov-22,Nagaland,two wheelers,0,447
01-Nov-22,Nagaland,four wheelers,0,724
01-Nov-22,Punjab,four wheelers,0,8875
01-Nov-22,Tripura,four wheelers,0,410
01-Dec-22,Arunachal Pradesh,four wheelers,0,865
01-Dec-22,Ladakh,two wheelers,0,16
01-Dec-22,Ladakh,four wheelers,0,144
01-Dec-22,Manipur,four wheelers,0,1478
01-Dec-22,Meghalaya,four wheelers,0,1150
01-Dec-22,Mizoram,four wheelers,0,445
01-Dec-22,Nagaland,two wheelers,0,369
01-Dec-22,Nagaland,four wheelers,0,490
01-Dec-22,Tripura,four wheelers,0,385
01-Jan-23,Andaman & Nicobar Island,two wheelers,0,373
01-Jan-23,Andaman & Nicobar Island,four wheelers,0,153
01-Jan-23,Arunachal Pradesh,two wheelers,0,718
01-Jan-23,Arunachal Pradesh,four wheelers,0,966
01-Jan-23,Ladakh,four wheelers,0,92
01-Jan-23,Mizoram,four wheelers,0,476
01-Jan-23,Nagaland,two wheelers,0,432
01-Jan-23,Nagaland,four wheelers,0,545
01-Jan-23,Punjab,four wheelers,0,11608
01-Jan-23,Tripura,four wheelers,0,399
01-Feb-23,Andaman & Nicobar Island,two wheelers,0,346
01-Feb-23,Andaman & Nicobar Island,four wheelers,0,148
01-Feb-23,Arunachal Pradesh,two wheelers,0,816
01-Feb-23,Arunachal Pradesh,four wheelers,0,840
01-Feb-23,Ladakh,two wheelers,0,5
01-Feb-23,Ladakh,four wheelers,0,49
01-Feb-23,Meghalaya,four wheelers,0,1002
01-Feb-23,Mizoram,four wheelers,0,337
01-Feb-23,Nagaland,two wheelers,0,375
01-Feb-23,Nagaland,four wheelers,0,806
01-Feb-23,Tripura,four wheelers,0,328
01-Mar-23,Arunachal Pradesh,two wheelers,0,1131
01-Mar-23,Arunachal Pradesh,four wheelers,0,1048
01-Mar-23,Ladakh,two wheelers,0,30
01-Mar-23,Ladakh,four wheelers,0,59
01-Mar-23,Manipur,four wheelers,0,320
01-Mar-23,Meghalaya,four wheelers,0,1369
01-Mar-23,Mizoram,four wheelers,0,433
01-Mar-23,Nagaland,two wheelers,0,693
01-Mar-23,Nagaland,four wheelers,0,820
01-Apr-23,Andaman & Nicobar Island,two wheelers,0,325
01-Apr-23,Arunachal Pradesh,two wheelers,0,971
01-Apr-23,Ladakh,two wheelers,0,43
01-Apr-23,Ladakh,four wheelers,0,219
01-Apr-23,Manipur,four wheelers,0,942
